mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
60051.299283,2.181,1.7,26.441,8.1,17.683,0.06,c
60055.261569,2.198,1.758,26.572,7.83,17.651,0.058,c
60055.265186,2.198,1.758,26.572,7.83,17.684,0.059,c
60055.2712,2.198,1.758,26.572,7.83,17.825,0.067,c
60055.282961,2.198,1.758,26.572,7.83,17.769,0.065,c
60055.986331,2.201,1.769,26.587,7.78,17.743,0.087,c
60055.993692,2.201,1.769,26.588,7.78,17.853,0.095,c
60055.997313,2.201,1.769,26.588,7.78,17.694,0.082,c
60056.016742,2.201,1.769,26.588,7.78,17.715,0.084,c
60057.245534,2.206,1.788,26.609,7.7,17.998,0.08,c
60057.249161,2.206,1.788,26.609,7.7,17.801,0.067,c
60057.254603,2.206,1.788,26.609,7.7,17.807,0.067,c
60057.264752,2.206,1.788,26.609,7.7,17.985,0.078,c
60059.241492,2.215,1.818,26.629,7.57,17.536,0.081,o
60059.244668,2.215,1.818,26.629,7.57,17.497,0.073,o
60059.249986,2.215,1.818,26.629,7.57,17.519,0.076,o
60059.260557,2.215,1.818,26.629,7.57,17.696,0.087,o
60061.228832,2.223,1.848,26.632,7.45,17.691,0.149,o
60061.231876,2.223,1.848,26.632,7.45,17.693,0.144,o
60067.280582,2.249,1.94,26.543,7.09,18.064,0.172,o
60067.299813,2.249,1.941,26.542,7.09,18.221,0.201,o
60068.053587,2.253,1.952,26.522,7.05,17.891,0.222,o
60068.063121,2.253,1.952,26.521,7.05,18.003,0.254,o
60068.078164,2.253,1.953,26.521,7.05,18.047,0.278,o
60069.274302,2.258,1.971,26.484,6.98,17.988,0.163,o
60069.278117,2.258,1.971,26.484,6.98,18.17,0.194,o
60069.284633,2.258,1.971,26.483,6.98,17.994,0.167,o
60069.305681,2.258,1.972,26.483,6.98,18.679,0.327,o
60071.278705,2.267,2.002,26.41,6.87,18.157,0.149,o
60071.281944,2.267,2.002,26.41,6.87,17.913,0.122,o
60071.2879,2.267,2.002,26.41,6.87,18.086,0.146,o
60071.298159,2.267,2.002,26.409,6.87,17.883,0.125,o
60073.999681,2.279,2.045,26.289,6.73,17.715,0.1,o
60074.008458,2.279,2.045,26.289,6.73,18.056,0.131,o
60074.010741,2.279,2.045,26.289,6.73,18.033,0.125,o
60074.019752,2.279,2.045,26.288,6.73,17.982,0.121,o
60074.044138,2.279,2.045,26.287,6.73,17.735,0.096,o
60074.048304,2.279,2.045,26.287,6.73,17.984,0.122,o
60077.245664,2.294,2.095,26.114,6.57,18.487,0.107,c
60077.248874,2.294,2.095,26.114,6.57,18.663,0.125,c
60077.255467,2.294,2.096,26.113,6.57,18.475,0.106,c
60077.265657,2.294,2.096,26.113,6.57,18.855,0.15,c
60079.244855,2.303,2.127,25.99,6.47,18.599,0.12,c
60079.248021,2.303,2.127,25.99,6.47,18.47,0.106,c
60079.254185,2.303,2.127,25.99,6.47,18.585,0.118,c
60079.264337,2.303,2.127,25.989,6.47,18.672,0.129,c
60080.042491,2.306,2.139,25.937,6.43,18.753,0.272,o
60080.069313,2.306,2.14,25.936,6.43,18.341,0.2,o
60085.234398,2.33,2.222,25.551,6.2,18.472,0.159,o
60085.238727,2.33,2.222,25.55,6.2,18.343,0.125,o
60085.254923,2.33,2.222,25.549,6.2,18.422,0.12,o
60085.260835,2.33,2.222,25.548,6.19,18.368,0.116,o
60088.345681,2.344,2.271,25.285,6.06,18.104,0.196,o
60089.250021,2.348,2.285,25.203,6.02,18.521,0.161,o
60089.253365,2.348,2.285,25.202,6.02,18.193,0.12,o
